Chromosome	Compartment	Nuc_Category	Sites	Polymorphic	Pi_sum	Pi_mean	Pi_component	Poly_fraction
Chr_09	exon_all	all	1762835	124163	21825.173842	0.01238072	0.01238072	0.070434
Chr_09	exon_all	C	417190	52072	9205.453915	0.02206538	0.00522196	0.124816
Chr_09	exon_all	G	475290	49296	8588.110657	0.01806920	0.00487176	0.103718
Chr_09	exon_all	AT	848741	11404	1983.000107	0.00233640	0.00112489	0.013436
Chr_09	exon_all	CG	21614	11391	2048.609163	0.09478158	0.00116211	0.527020
Chr_09	first_exon_4fold	all	103242	18075	3409.017460	0.03301968	0.03301968	0.175074
Chr_09	first_exon_4fold	C	31003	6790	1275.707290	0.04114787	0.01235648	0.219011
Chr_09	first_exon_4fold	G	29751	7083	1333.750254	0.04483043	0.01291868	0.238076
Chr_09	first_exon_4fold	AT	38917	1617	302.225560	0.00776590	0.00292735	0.041550
Chr_09	first_exon_4fold	CG	3571	2585	497.334356	0.13927033	0.00481717	0.723887
Chr_09	nonfirst_exon_4fold	all	154740	25925	4776.117628	0.03086544	0.03086544	0.167539
Chr_09	nonfirst_exon_4fold	C	35063	9311	1710.911752	0.04879536	0.01105669	0.265551
Chr_09	nonfirst_exon_4fold	G	38652	11160	2054.580757	0.05315587	0.01327763	0.288730
Chr_09	nonfirst_exon_4fold	AT	77568	2998	540.591261	0.00696926	0.00349355	0.038650
Chr_09	nonfirst_exon_4fold	CG	3457	2456	470.033857	0.13596583	0.00303757	0.710443
Chr_10	intergenic	all	5521284	412348	61145.758434	0.01107455	0.01107455	0.074683
Chr_10	intergenic	C	1067125	161528	23953.533935	0.02244679	0.00433840	0.151367
Chr_10	intergenic	G	1074723	162521	24165.633758	0.02248545	0.00437681	0.151221
Chr_10	intergenic	AT	3329507	59443	8640.638303	0.00259517	0.00156497	0.017853
Chr_10	intergenic	CG	49929	28856	4385.952438	0.08784379	0.00079437	0.577941
Chr_10	intergenic_upstream_10kb	all	4978065	458263	73275.278210	0.01471963	0.01471963	0.092056
Chr_10	intergenic_upstream_10kb	C	928404	177220	28316.766739	0.03050048	0.00568831	0.190887
Chr_10	intergenic_upstream_10kb	G	928679	177391	28292.247065	0.03046504	0.00568338	0.191014
Chr_10	intergenic_upstream_10kb	AT	3070246	72119	11391.100184	0.00371016	0.00228826	0.023490
Chr_10	intergenic_upstream_10kb	CG	50736	31533	5275.164222	0.10397280	0.00105968	0.621511
Chr_10	intergenic_upstream_2kb	all	2277386	224531	36547.293913	0.01604791	0.01604791	0.098592
Chr_10	intergenic_upstream_2kb	C	415539	85361	13867.799022	0.03337304	0.00608935	0.205422
Chr_10	intergenic_upstream_2kb	G	415447	86031	14002.262242	0.03370409	0.00614839	0.207081
Chr_10	intergenic_upstream_2kb	AT	1421904	37252	5949.115021	0.00418391	0.00261226	0.026199
Chr_10	intergenic_upstream_2kb	CG	24496	15887	2728.117627	0.11136992	0.00119792	0.648555
Chr_10	intron	all	1292604	131707	21443.867877	0.01658967	0.01658967	0.101893
Chr_10	intron	C	235456	48549	7903.129243	0.03356521	0.00611411	0.206191
Chr_10	intron	G	254097	51354	8316.668096	0.03273029	0.00643404	0.202104
Chr_10	intron	AT	788044	22108	3590.500354	0.00455622	0.00277773	0.028054
Chr_10	intron	CG	15007	9696	1633.570184	0.10885388	0.00126378	0.646098
Chr_10	exon_all	all	2260646	145794	23671.845550	0.01047127	0.01047127	0.064492
Chr_10	exon_all	C	537392	61777	10061.323033	0.01872250	0.00445064	0.114957
Chr_10	exon_all	G	608952	57032	9164.023636	0.01504884	0.00405372	0.093656
Chr_10	exon_all	AT	1087906	13387	2139.176426	0.00196632	0.00094627	0.012305
Chr_10	exon_all	CG	26396	13598	2307.322455	0.08741182	0.00102065	0.515154
Chr_10	first_exon_4fold	all	128422	21344	3693.262074	0.02875880	0.02875880	0.166202
Chr_10	first_exon_4fold	C	41076	8214	1402.867526	0.03415297	0.01092389	0.199971
Chr_10	first_exon_4fold	G	36285	8136	1390.951079	0.03833405	0.01083110	0.224225
Chr_10	first_exon_4fold	AT	46708	1894	332.400705	0.00711657	0.00258835	0.040550
Chr_10	first_exon_4fold	CG	4353	3100	567.042765	0.13026482	0.00441546	0.712153
Chr_10	nonfirst_exon_4fold	all	203975	31974	5295.717416	0.02596258	0.02596258	0.156755
Chr_10	nonfirst_exon_4fold	C	46183	11608	1934.909361	0.04189657	0.00948601	0.251348
Chr_10	nonfirst_exon_4fold	G	49854	13463	2233.147723	0.04479375	0.01094814	0.270049
Chr_10	nonfirst_exon_4fold	AT	103475	3747	583.671505	0.00564070	0.00286149	0.036212
Chr_10	nonfirst_exon_4fold	CG	4463	3156	543.988827	0.12188860	0.00266694	0.707148
Chr_11	intergenic	all	5979285	481816	79310.822543	0.01326427	0.01326427	0.080581
Chr_11	intergenic	C	1167325	189254	31133.540221	0.02667084	0.00520690	0.162126
Chr_11	intergenic	G	1157642	189323	31035.876515	0.02680956	0.00519057	0.163542
Chr_11	intergenic	AT	3599059	69481	11362.151782	0.00315698	0.00190025	0.019305
Chr_11	intergenic	CG	55259	33758	5779.254024	0.10458485	0.00096655	0.610905
Chr_11	intergenic_upstream_10kb	all	4042334	397365	66406.902094	0.01642786	0.01642786	0.098301
Chr_11	intergenic_upstream_10kb	C	749604	154007	25735.858290	0.03433261	0.00636658	0.205451
Chr_11	intergenic_upstream_10kb	G	757112	154689	25909.937067	0.03422207	0.00640965	0.204315
Chr_11	intergenic_upstream_10kb	AT	2493861	62297	10262.379868	0.00411506	0.00253873	0.024980
Chr_11	intergenic_upstream_10kb	CG	41757	26372	4498.726868	0.10773587	0.00111290	0.631559
Chr_11	intergenic_upstream_2kb	all	1730796	181895	31326.300242	0.01809936	0.01809936	0.105093
Chr_11	intergenic_upstream_2kb	C	315386	69679	11994.886028	0.03803240	0.00693027	0.220932
Chr_11	intergenic_upstream_2kb	G	316325	69747	12036.452529	0.03805091	0.00695429	0.220492
Chr_11	intergenic_upstream_2kb	AT	1080182	30123	5114.155360	0.00473453	0.00295480	0.027887
Chr_11	intergenic_upstream_2kb	CG	18903	12346	2180.806324	0.11536827	0.00126000	0.653124
Chr_11	intron	all	1011298	111494	19652.337873	0.01943279	0.01943279	0.110248
Chr_11	intron	C	183011	40843	7187.523152	0.03927372	0.00710723	0.223172
Chr_11	intron	G	199014	43924	7756.366314	0.03897397	0.00766971	0.220708
Chr_11	intron	AT	616976	18765	3266.435714	0.00529427	0.00322994	0.030414
Chr_11	intron	CG	12297	7962	1442.012693	0.11726541	0.00142590	0.647475
Chr_11	exon_all	all	1604397	109193	19108.581050	0.01191013	0.01191013	0.068059
Chr_11	exon_all	C	387512	46693	8273.665400	0.02135073	0.00515687	0.120494
Chr_11	exon_all	G	433673	42817	7383.711909	0.01702599	0.00460217	0.098731
Chr_11	exon_all	AT	763951	9811	1661.741722	0.00217519	0.00103574	0.012842
Chr_11	exon_all	CG	19261	9872	1789.462018	0.09290598	0.00111535	0.512538
Chr_11	first_exon_4fold	all	92262	15841	2954.593953	0.03202395	0.03202395	0.171696
Chr_11	first_exon_4fold	C	29303	6135	1142.320257	0.03898305	0.01238126	0.209364
Chr_11	first_exon_4fold	G	26625	6095	1123.040814	0.04217994	0.01217230	0.228920
Chr_11	first_exon_4fold	AT	33209	1405	265.349909	0.00799030	0.00287605	0.042308
Chr_11	first_exon_4fold	CG	3125	2206	423.882973	0.13564255	0.00459434	0.705920
Chr_11	nonfirst_exon_4fold	all	144671	24489	4440.122849	0.03069117	0.03069117	0.169274
Chr_11	nonfirst_exon_4fold	C	33727	8973	1633.900711	0.04844489	0.01129391	0.266048
Chr_11	nonfirst_exon_4fold	G	36103	10440	1895.438826	0.05250087	0.01310172	0.289173
Chr_11	nonfirst_exon_4fold	AT	71458	2764	476.717985	0.00667130	0.00329519	0.038680
Chr_11	nonfirst_exon_4fold	CG	3383	2312	434.065327	0.12830781	0.00300036	0.683417
Chr_12	intergenic	all	5774833	458621	72260.661424	0.01251303	0.01251303	0.079417
Chr_12	intergenic	C	1121241	180861	28500.626394	0.02541882	0.00493532	0.161304
Chr_12	intergenic	G	1113287	179663	28455.128795	0.02555956	0.00492744	0.161381
Chr_12	intergenic	AT	3487420	66345	10194.919983	0.00292334	0.00176541	0.019024
Chr_12	intergenic	CG	52885	31752	5109.986252	0.09662449	0.00088487	0.600397
Chr_12	intergenic_upstream_10kb	all	4910785	500800	83758.733237	0.01705608	0.01705608	0.101980
Chr_12	intergenic_upstream_10kb	C	917985	193226	32353.214892	0.03524373	0.00658820	0.210489
Chr_12	intergenic_upstream_10kb	G	920148	193386	32374.581492	0.03518410	0.00659255	0.210168
Chr_12	intergenic_upstream_10kb	AT	3020121	79893	13139.183011	0.00435055	0.00267558	0.026454
Chr_12	intergenic_upstream_10kb	CG	52531	34295	5891.753843	0.11215766	0.00119976	0.652853
Chr_12	intergenic_upstream_2kb	all	2229169	240155	40751.590374	0.01828107	0.01828107	0.107733
Chr_12	intergenic_upstream_2kb	C	408053	90884	15421.854593	0.03779375	0.00691821	0.222726
Chr_12	intergenic_upstream_2kb	G	408403	91462	15540.777697	0.03805256	0.00697156	0.223950
Chr_12	intergenic_upstream_2kb	AT	1387430	40730	6791.620677	0.00489511	0.00304671	0.029356
Chr_12	intergenic_upstream_2kb	CG	25283	17079	2997.337408	0.11855149	0.00134460	0.675513
Chr_12	intron	all	1257733	143538	24711.417881	0.01964759	0.01964759	0.114124
Chr_12	intron	C	231956	53132	9138.513111	0.03939761	0.00726586	0.229061
Chr_12	intron	G	250227	56010	9738.477151	0.03891857	0.00774288	0.223837
Chr_12	intron	AT	759834	23803	3996.826783	0.00526013	0.00317780	0.031327
Chr_12	intron	CG	15716	10593	1837.600837	0.11692548	0.00146104	0.674026
Chr_12	exon_all	all	2137832	151861	26326.726345	0.01231468	0.01231468	0.071035
Chr_12	exon_all	C	513823	64616	11234.312057	0.02186417	0.00525500	0.125755
Chr_12	exon_all	G	579767	59481	10231.131885	0.01764697	0.00478575	0.102595
Chr_12	exon_all	AT	1017856	13827	2349.205222	0.00230799	0.00109887	0.013584
Chr_12	exon_all	CG	26386	13937	2512.077181	0.09520493	0.00117506	0.528197
Chr_12	first_exon_4fold	all	123168	22111	4123.710796	0.03348037	0.03348037	0.179519
Chr_12	first_exon_4fold	C	39500	8569	1571.563241	0.03978641	0.01275951	0.216937
Chr_12	first_exon_4fold	G	35035	8381	1550.325105	0.04425075	0.01258708	0.239218
Chr_12	first_exon_4fold	AT	44333	2055	382.394322	0.00862550	0.00310466	0.046354
Chr_12	first_exon_4fold	CG	4300	3106	619.428127	0.14405305	0.00502913	0.722326
Chr_12	nonfirst_exon_4fold	all	191879	32832	5830.048194	0.03038398	0.03038398	0.171108
Chr_12	nonfirst_exon_4fold	C	44229	11819	2096.869943	0.04740939	0.01092808	0.267223
Chr_12	nonfirst_exon_4fold	G	48661	14040	2500.036738	0.05137660	0.01302924	0.288527
Chr_12	nonfirst_exon_4fold	AT	94533	3822	642.899893	0.00680080	0.00335055	0.040430
Chr_12	nonfirst_exon_4fold	CG	4456	3151	590.241619	0.13245997	0.00307611	0.707136
Chr_13	intergenic	all	5872410	458646	74869.280066	0.01274933	0.01274933	0.078102
Chr_13	intergenic	C	1126184	179645	29280.815010	0.02600003	0.00498617	0.159517
Chr_13	intergenic	G	1132373	179774	29335.882447	0.02590655	0.00499554	0.158759
Chr_13	intergenic	AT	3561122	67011	10802.917784	0.00303357	0.00183961	0.018817
Chr_13	intergenic	CG	52731	32216	5449.664826	0.10334841	0.00092801	0.610950
Chr_13	intergenic_upstream_10kb	all	4889271	486466	80037.182638	0.01636996	0.01636996	0.099497
Chr_13	intergenic_upstream_10kb	C	910402	186571	30672.026131	0.03369064	0.00627333	0.204933
Chr_13	intergenic_upstream_10kb	G	914266	188030	30999.415436	0.03390634	0.00634029	0.205662
Chr_13	intergenic_upstream_10kb	AT	3012030	77746	12553.717316	0.00416786	0.00256761	0.025812
Chr_13	intergenic_upstream_10kb	CG	52573	34119	5812.023754	0.11055150	0.00118873	0.648983
Chr_13	intergenic_upstream_2kb	all	2237669	239435	39927.380930	0.01784329	0.01784329	0.107002
Chr_13	intergenic_upstream_2kb	C	410594	90315	15007.391739	0.03655044	0.00670671	0.219962
Chr_13	intergenic_upstream_2kb	G	411428	90890	15177.326437	0.03688939	0.00678265	0.220914
Chr_13	intergenic_upstream_2kb	AT	1389616	40719	6696.914286	0.00481926	0.00299281	0.029302
Chr_13	intergenic_upstream_2kb	CG	26031	17511	3045.748468	0.11700467	0.00136113	0.672698
Chr_13	intron	all	1157747	126915	21202.628594	0.01831370	0.01831370	0.109622
Chr_13	intron	C	213692	46753	7781.653394	0.03641528	0.00672138	0.218787
Chr_13	intron	G	231853	49590	8333.048785	0.03594109	0.00719764	0.213886
Chr_13	intron	AT	697800	21192	3493.153559	0.00500595	0.00301720	0.030370
Chr_13	intron	CG	14402	9380	1594.772856	0.11073274	0.00137748	0.651298
Chr_13	exon_all	all	2352437	170687	29092.135671	0.01236681	0.01236681	0.072558
Chr_13	exon_all	C	567746	72025	12280.627022	0.02163050	0.00522039	0.126861
Chr_13	exon_all	G	633912	66858	11298.245361	0.01782305	0.00480278	0.105469
Chr_13	exon_all	AT	1120748	15479	2590.881162	0.00231174	0.00110136	0.013811
Chr_13	exon_all	CG	30031	16325	2922.382126	0.09731218	0.00124228	0.543605
Chr_13	first_exon_4fold	all	142118	26459	4851.127548	0.03413450	0.03413450	0.186176
Chr_13	first_exon_4fold	C	45669	10205	1842.566164	0.04034610	0.01296504	0.223456
Chr_13	first_exon_4fold	G	39654	10111	1828.200282	0.04610380	0.01286396	0.254981
Chr_13	first_exon_4fold	AT	51654	2341	440.229448	0.00852266	0.00309763	0.045321
Chr_13	first_exon_4fold	CG	5141	3802	740.131655	0.14396648	0.00520787	0.739545
Chr_13	nonfirst_exon_4fold	all	205887	35173	6181.255013	0.03002256	0.03002256	0.170836
Chr_13	nonfirst_exon_4fold	C	47451	12695	2209.493186	0.04656368	0.01073158	0.267539
Chr_13	nonfirst_exon_4fold	G	51589	14888	2620.840586	0.05080231	0.01272951	0.288589
Chr_13	nonfirst_exon_4fold	AT	101910	4080	704.249830	0.00691051	0.00342056	0.040035
Chr_13	nonfirst_exon_4fold	CG	4937	3510	646.671411	0.13098469	0.00314090	0.710958
Chr_14	intergenic	all	3853011	302998	47365.738201	0.01229317	0.01229317	0.078639
Chr_14	intergenic	C	737387	118534	18626.627464	0.02526031	0.00483430	0.160749
Chr_14	intergenic	G	730674	118220	18398.924670	0.02518076	0.00477521	0.161796
Chr_14	intergenic	AT	2348877	45131	6966.218531	0.00296577	0.00180799	0.019214
Chr_14	intergenic	CG	36073	21113	3373.967537	0.09353166	0.00087567	0.585285
Chr_14	intergenic_upstream_10kb	all	7771379	747319	124146.564816	0.01597484	0.01597484	0.096163
Chr_14	intergenic_upstream_10kb	C	1440441	290161	48195.501349	0.03345885	0.00620167	0.201439
Chr_14	intergenic_upstream_10kb	G	1430115	287937	47788.553866	0.03341588	0.00614930	0.201338
Chr_14	intergenic_upstream_10kb	AT	4820596	118658	19463.323434	0.00403753	0.00250449	0.024615
Chr_14	intergenic_upstream_10kb	CG	80227	50563	8699.186167	0.10843215	0.00111939	0.630249
Chr_14	intergenic_upstream_2kb	all	3961425	404928	68493.385909	0.01729009	0.01729009	0.102218
Chr_14	intergenic_upstream_2kb	C	723421	155619	26282.869319	0.03633136	0.00663470	0.215115
Chr_14	intergenic_upstream_2kb	G	718739	154595	26169.170036	0.03640984	0.00660600	0.215092
Chr_14	intergenic_upstream_2kb	AT	2476520	66832	11164.409546	0.00450810	0.00281828	0.026986
Chr_14	intergenic_upstream_2kb	CG	42745	27882	4876.937009	0.11409374	0.00123111	0.652287
Chr_14	intron	all	2690385	279431	47596.432745	0.01769131	0.01769131	0.103863
Chr_14	intron	C	492335	103591	17625.469359	0.03579975	0.00655128	0.210408
Chr_14	intron	G	535759	109458	18652.275789	0.03481468	0.00693294	0.204305
Chr_14	intron	AT	1630624	45973	7793.860574	0.00477968	0.00289693	0.028194
Chr_14	intron	CG	31667	20409	3524.827024	0.11130916	0.00131016	0.644488
Chr_14	exon_all	all	4018345	256395	43553.608564	0.01083869	0.01083869	0.063806
Chr_14	exon_all	C	961784	109142	18581.526212	0.01931985	0.00462417	0.113479
Chr_14	exon_all	G	1083618	100357	16876.494209	0.01557421	0.00419986	0.092613
Chr_14	exon_all	AT	1926128	23597	3988.010471	0.00207048	0.00099245	0.012251
Chr_14	exon_all	CG	46815	23299	4107.577672	0.08774063	0.00102221	0.497682
Chr_14	first_exon_4fold	all	229349	39182	7114.010475	0.03101828	0.03101828	0.170840
Chr_14	first_exon_4fold	C	74160	15185	2714.086414	0.03659771	0.01183387	0.204760
Chr_14	first_exon_4fold	G	64961	15015	2730.701765	0.04203602	0.01190632	0.231139
Chr_14	first_exon_4fold	AT	82528	3624	650.053802	0.00787677	0.00283434	0.043912
Chr_14	first_exon_4fold	CG	7700	5358	1019.168493	0.13235954	0.00444375	0.695844
Chr_14	nonfirst_exon_4fold	all	363888	55995	9704.697617	0.02666946	0.02666946	0.153880
Chr_14	nonfirst_exon_4fold	C	82197	20341	3488.370142	0.04243914	0.00958638	0.247466
Chr_14	nonfirst_exon_4fold	G	88031	23530	4109.876804	0.04668670	0.01129435	0.267292
Chr_14	nonfirst_exon_4fold	AT	185772	6775	1137.889431	0.00612519	0.00312703	0.036469
Chr_14	nonfirst_exon_4fold	CG	7888	5349	968.561241	0.12278920	0.00266170	0.678119
